,ticketid,subject,description,status_idup,priority_idup,user_id,created_at,Category,application_name,assigned_to,Resolution_notes,Resolution_code,resolved_date,resolution_notes_ITSM,resolved_by
58,59,sap crashing,sap crashing,1,4,2,05-11-2022 09:14,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
115,116,sap crashing,sap crashing,1,4,2,21-11-2022 00:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
139,140,sap crashing,sap crashing,1,4,2,15-07-2022 19:09,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
163,164,sap crashing,sap crashing,1,4,2,23-11-2022 16:36,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
191,192,sap crashing,sap crashing,1,4,2,04-11-2022 04:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
215,216,sap crashing,sap crashing,1,4,2,23-02-2022 16:36,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
239,240,sap crashing,sap crashing,1,4,2,21-06-2022 00:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
263,264,sap crashing,sap crashing,1,4,2,11-11-2022 19:09,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
287,288,sap crashing,sap crashing,1,4,2,23-11-2022 16:36,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
311,312,sap crashing,sap crashing,1,4,2,28-10-2022 03:00,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
335,336,sap crashing,sap crashing,1,4,2,24-10-2022 00:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
359,360,sap crashing,sap crashing,1,4,2,05-11-2022 16:36,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
390,391,sap crashing,sap crashing,1,4,2,20-11-2022 15:00,Crash,SAP,raghav_it,,44.0,,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
414,415,sap crashing,sap crashing,1,4,2,18-11-2022 14:15,Crash,SAP,raghav_it,Try installing the latest version as previous version had some problems with pdf version.,20.0,19-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,
524,525,sap crashing,sap crashing,1,4,2,23-11-2022 16:36,Crash,SAP,,,,,,
647,648,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,4,4,16-12-2022 00:00,Login,Skype,raghav_it,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
648,649,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,4,4,17-12-2022 12:45,Login,Skype,,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10.0,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,Akash
649,650,unable to disable add ins on outlook,unable to disable add ins on outlook,4,4,5,13-12-2022 11:15,Configuration,Outlook,raghav_it,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
650,651,unable to disable add ins on outlook,unable to disable add ins on outlook,4,4,5,14-12-2022 11:15,Configuration,Outlook,,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11.0,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,Akash
651,652,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,4,6,15-12-2022 00:00,Report,Engineering_tool,raghav_it,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
652,653,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,3,4,6,16-12-2022 00:00,Report,Engineering_tool,,"Try turning off the Wi-Fi on your device, then re-enabling it.",12.0,07-12-2022 17:09,Restart the server,aditya
