ticket_id,subject,description,status_idup,priority_idup,user_id,created_at,application_name,resolution_notes,resolution_code,resolved_date,resolution_notes_ITSM,closed_date,closed_by
1,reset password sap,I forgot my sap account password.Want to reset it.,1,3,1,12-10-2022 11:15,SAP,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,1,13-10-2022 13:12,Click on reset button.A mail will be sent to you for verification.Click on verification.Then set the new password.,,
2,visual studio code,visual studio code licence expired,2,2,2,13-10-2022 00:00,Visual studio code,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,2,13-10-2022 02:14,Click on settings click on licence renewal.A renewal will be done by the company for your id and sent to you via email.,,
3,Accidentally Deleted Important Files,I deleted ppt accidentally which is very imporant,2,2,3,13-10-2022 12:15,Powerpoint,Check recycle bin.,3,13-10-2022 15:00,Check cloud if backup was  done as all data is continuously synced,,
4,Excel not responding,"Excel hangs or freezes when you launch it, or open an Excel workbook",3,3,4,13-10-2022 13:00,Excel,"If you are on Windows 11 or Windows 10, choose Start > All apps > Windows System > Run. Type Excel /safe in the Run box, and then click OK.",4,14-10-2022 00:00,"Start Registry editor. To do this, press the Windows key + R to open a Run dialog box. Type regedit.exe and then press OK.",,
5,login issue,Unable to login as it shows incorrect login details,1,1,5,14-10-2022 14:15,ERP,Check your username and password input. Check if caps is on.,5,14-10-2022 15:06,The management will provide you with new username and password as the prevous one is expired,,
6,outlook,outlook frozen,2,1,6,14-10-2022 15:00,Outlook,Restart your outlook,6,14-10-2022 16:00,"You can start Outlook in safe mode, disable your add-ins, and then try to open Outlook normally.",,
7,cant log in to vpn,cant log in to vpn,2,1,7,14-10-2022 16:00,VPN,check your network settings.Check if you are connected to internet.,7,14-10-2022 16:15,"Click the Windows icon in the bottom-left of the screen and type “Windows Defender Firewall” (without quotes). Now, select Allow an app or feature through Windows Defender Firewall in the list on the left. On the next screen, click Change settings and then Allow another app. Finally, locate your VPN app and click Add.",,
8,unable to access hr_tool page,unable to access hr_tool page,2,2,8,14-10-2022 16:15,Hr_tool,check your network settings.Check if you are connected to internet.,8,14-10-2022 15:20,,,
9,skype error ,skype crashing,2,2,9,14-10-2022 20:15,Skype,Restart skype.Restart your computer.,9,14-10-2022 20:20,Reset and Repair Skype app at Settings > Apps > Apps & Features > Skype app > Advanced Options.,14-10-2022 20:30,akash
10,unable to log in to engineering tool and skype,unable to log in to engineering tool and skype,3,1,10,14-10-2022 20:30,Skype,Make sure that you’re signing in to the correct Skype account. Enter your registered email address on this link to check the correct Skype account that you’re using.,10,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,14-10-2022 22:00,Akash
11,unable to disable add ins on outlook,unable to disable add ins on outlook,4,1,11,14-10-2022 20:30,Outlook,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,11,14-10-2022 20:40,Open the Microsoft Outlook client.Select “File” > “Options“.Choose “Add-ins”.Uncheck the Add-ins you wish to turn off.,14-10-2022 20:40,Akash
12,engineering tool says not connected and unable to submit reports,engineering tool says not connected and unable to submit reports,2,1,12,14-10-2022 20:30,Engineering_tool,"Try turning off the Wi-Fi on your device, then re-enabling it.",12,14-10-2022 20:40,We received a lot of concerns same as yours and I would like to inform you that this is a known-issue. Our engineers and developers are now working on it. We’ll let you know once the issue has been fixed.,,
13,hr_tool site not loading page correctly,hr_tool site not loading page correctly,3,1,13,14-10-2022 20:30,Hr_tool,Check your wifi connection.Your antivirus might block access to some sites or even all of them.,13,14-10-2022 20:40,Currently server is down for this tool. Our engineers are working on it.Will let you know once the issue is fixed.,,
14,Want to reset the password for outlook,hi I want to reset my outlook password.,4,2,14,14-10-2022 20:40,Outlook,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14,14-10-2022 20:41,"Go to Microsoft account security and select Password security.Enter your current password, enter your new password, and then select Save.",14-10-2022 20:41,Akash
15,unable to open payslips ,"Hi,We are facing Pay slip issue on the production server with the some useru2019s.When they click up on the Salary Statement Link they are getting pay slip I View but there payslip is not getting display.Its not showing any error or any dump u2026its not showing any thing just black..",2,2,15,14-10-2022 20:40,SAP,Try installing the latest version as previous version had some problems with pdf version.,15,14-10-2022 20:50,I have fixed this issue.The problem was  with the version of the PDF which is using by End user they r not using upgraded version .We have installed the latest version.,14-10-2022 20:50,Akash
